class,id,chapter,title,zhang,futa,genghuan,sort,sort1,sort2
yuzaozhishi,baihua,小雅·鱼藻之什,白华,128,32,8,74,50,41
yuzaozhishi,mianman,小雅·鱼藻之什,绵蛮,96,88,5,75,7,48
yuzaozhishi,huye,小雅·鱼藻之什,瓠叶,64,60,9,76,4,15
yuzaozhishi,jianjianzhishi,小雅·鱼藻之什,渐渐之石,72,56,9,77,19,20
yuzaozhishi,tiaozhihua,小雅·鱼藻之什,苕之华,46,6,0,78,67,88
yuzaozhishi,hecaobuhuang,小雅·鱼藻之什,何草不黄,64,32,10,79,36,12
wenwangzhishi,wenwang,大雅·文王之什,文王,228,0,0,80,103,103
wenwangzhishi,daming,大雅·文王之什,大明,225,0,0,81,104,104
wenwangzhishi,mian,大雅·文王之什,绵,224,0,0,82,105,105
wenwangzhishi,yupu,大雅·文王之什,棫樸,80,8,4,83,72,49
wenwangzhishi,hanlu,大雅·文王之什,旱麓,96,20,0,84,57,85
wenwangzhishi,siqi,大雅·文王之什,思齐,101,16,10,85,62,27
wenwangzhishi,huangyi,大雅·文王之什,皇矣,392,64,24,86,61,45
wenwangzhishi,lingtai,大雅·文王之什,灵台,80,0,0,87,106,106
wenwangzhishi,xiawu,大雅·文王之什,下武,96,16,0,88,60,87
wenwangzhishi,wenwangzhisheng,大雅·文王之什,文王有声,161,112,8,89,25,50
shengminzhishi,shengmin,大雅·生民之什,生民,296,6,0,90,92,92
shengminzhishi,xingwei,大雅·生民之什,行葦,131,0,0,91,107,107
shengminzhishi,jizui,大雅·生民之什,既醉,129,40,4,92,44,60
shengminzhishi,fuyi,大雅·生民之什,鳧鹥,130,106,22,93,15,11
shengminzhishi,jiale,大雅·生民之什,假乐,96,0,0,94,108,108
shengminzhishi,gongliu,大雅·生民之什,公刘,234,18,0,95,76,89
shengminzhishi,jiongzhuo,大雅·生民之什,泂酌,63,63,12,96,3,5
shengminzhishi,juana,大雅·生民之什,卷阿,232,91,10,97,41,55
shengminzhishi,minlao,大雅·生民之什,民勞,200,148,27,98,21,16
shengminzhishi,ban,大雅·生民之什,板,259,16,5,99,81,76
dangzhishi,dang,大雅·荡之什,荡,269,56,0,100,58,86
dangzhishi,yi,大雅·荡之什,抑,469,16,4,101,89,83
dangzhishi,ssangrou,大雅·荡之什,桑柔,450,32,12,102,78,67
dangzhishi,yunhan,大雅·荡之什,云汉,324,88,14,103,48,54
dangzhishi,songgao,大雅·荡之什,崧高,256,40,14,104,63,46
dangzhishi,zhengmin,大雅·荡之什,烝民,269,8,0,105,91,91
dangzhishi,hanyi,大雅·荡之什,韓奕,288,0,0,106,109,109
dangzhishi,jianghan,大雅·荡之什,江汉,193,48,18,107,51,31
dangzhishi,changwu,大雅·荡之什,常武,192,12,4,108,79,74
dangzhishi,zhanang,大雅·荡之什,瞻卬,249,8,0,109,90,90
dangzhishi,zhaomin,大雅·荡之什,召旻,170,0,0,110,110,110
